id,order,status,track,track_label,phase,title,summary,next_action,dependencies,sources,tags,completed_at
agent-foundation,10,done,ai-agents,AI / Agents,1,Agent Foundation,Hermes running with GPT-5.5/OpenAI path and Telegram access; migrated Mac mini → Windows server 2026-06-08.,Keep stable on the Windows server; monitor with health checks and update-readiness reports.,,memory/project_homelab_roadmap.md; memory/session-log.md,hermes; telegram; foundation,2026-05-29
mac-mini-substrate,20,done,infrastructure,Infrastructure / Windows Server / Network,2,Home Lab Substrate,"Original Mac mini substrate (SSH, Homebrew, Tailscale, Docker, UTM/HAOS, Ollama, Ned repo); re-platformed to the Windows server 2026-06-08, Mac mini decommissioned/returned 2026-06-09.",Historical — current substrate is the Windows server (memory/user_windows_server.md).,,memory/project_homelab_roadmap.md; memory/session-log.md; references/home_server_handoff.md,mac-mini; substrate; tailscale; docker; utm,2026-05-29
mac-mini-reboot-baseline,30,done,infrastructure,Infrastructure / Windows Server / Network,3,Mac mini reboot/service baseline,"Verified Hermes gateway, Tailscale, and Ollama auto-start on the Mac mini; superseded by the Windows server migration.","Historical — build an equivalent Windows server ops baseline (Scheduled Task, Docker, Ollama, Tailscale, reboot survival).",,plans/mac-mini-ops-baseline.md; memory/session-log.md,ops; reboot; reliability,2026-05-29
ha-entity-map,40,done,smart-home,Home Assistant / Smart Home,3,Home Assistant entity map,"Room/device map generated, curated, and cross-checked against live HA MCP state.",Update when new HA devices/entities are added or renamed.,,references/home-assistant-entity-map.md; memory/session-log.md,home-assistant; entity-map,2026-05-29
ha-mcp-read-access,50,done,smart-home,Home Assistant / Smart Home,3,Home Assistant MCP read access,Official HA MCP Server connected to Hermes via native HTTP; read-only validation passed.,"HA offline since Mac mini decommission — after HA restore on Windows, mint a new token, update Hermes .env, and re-validate with `hermes mcp test homeassistant`.",,plans/home-assistant-mcp-roadmap.md; references/ha-mcp-setup.md; memory/session-log.md,mcp; home-assistant,2026-05-29
ha-safe-light-control,60,active,smart-home,Home Assistant / Smart Home,3,Approval-gated safe light control,"Light writes have been tested, but routine control should use exact light entities or allowlisted scripts.",Paused — HA offline until restored on the Windows server. Then prefer deterministic scripts/entities for daily light actions; keep Sonos/TV/HVAC/security off-limits.,ha-mcp-read-access; ha-entity-map; home-assistant-boot-reliability,plans/home-assistant-mcp-roadmap.md; memory/session-log.md,home-assistant; lights; safety,
ha-usability-pass,70,active,smart-home,Home Assistant / Smart Home,3,Home Assistant human usability pass,"Make HA useful for Neima day-to-day with Companion App, phone dashboard, scenes, and practical automations.","Paused — HA offline until restored on the Windows server. Then continue dashboard v2, source-app inventory, and tested scripts/scenes.",ha-entity-map; ha-safe-light-control; home-assistant-boot-reliability,plans/home-assistant-usability-pass.md; references/home-assistant-automation-inventory.md; memory/project_homelab_roadmap.md,home-assistant; dashboard; scenes; automations,
neima-home-dashboard,80,active,smart-home,Home Assistant / Smart Home,3,Neima Home dashboard,HA dashboard created at /neima-home/home with room cards and Family Room script buttons.,Paused — HA offline until restored on the Windows server (dashboard config is inside the HA backup). Then refine card order and quick actions.,ha-usability-pass; home-assistant-boot-reliability,plans/home-assistant-usability-pass.md,dashboard; home-assistant; phone,
daily-mac-mini-health-brief,90,planned,infrastructure,Infrastructure / Windows Server / Network,3,Daily homelab health brief (Windows rewrite),"Mac mini version retired with the machine (2026-06-09); rewrite the daily Hermes health cron for the Windows server (Hermes task, Ray container, Ollama, Tailscale, disk, and HA once restored).",Rewrite scripts/mac-mini-health-check.sh as a .ps1/.py Windows host check and re-register the 8:00 AM Hermes cron.,,scripts/mac-mini-health-check.sh; memory/session-log.md,cron; monitoring; windows-server,
hermes-update-readiness,100,active,infrastructure,Infrastructure / Windows Server / Network,3,Weekly Hermes update readiness check,"Weekly non-mutating cron checks Hermes version, config, doctor, skills, and git ahead/behind state.",Review Monday reports and run manual Hermes update when appropriate.,,~/.hermes/scripts/hermes-update-check.py,cron; hermes; updates,2026-06-04
custom-ned-mcp-server,110,planned,ai-agents,AI / Agents,3,Custom Ned MCP server,"Build a project/homelab status MCP server for Ned memory, roadmap, and infrastructure state.","Revisit after the Obsidian knowledge layer has clarified Ned's human-facing notes, runbooks, and project status model.",ha-mcp-read-access; daily-mac-mini-health-brief,memory/project_homelab_roadmap.md,mcp; ned; project-status,
roadmap-dashboard,120,active,knowledge,Knowledge / Obsidian / Docs,3,Interactive end-to-end roadmap dashboard,"Structured roadmap data plus generated CSV, Markdown, JSON, and local HTML dashboard for viewing/reordering Ned work.",Use roadmap/roadmap.yaml order fields or dashboard export to reprioritize.,agent-foundation,roadmap/roadmap.yaml; roadmap/index.html,roadmap; dashboard; planning,
obsidian-knowledge-layer,130,next,knowledge,Knowledge / Obsidian / Docs,5,Obsidian knowledge layer,"Human-facing Ned vault for curated notes, decisions, runbooks, research synthesis, and memory-palace navigation.","Design vault folders, boundaries, and constrained agent write areas before enabling write access.",roadmap-dashboard,memory/project_homelab_roadmap.md; memory/session-log.md,obsidian; knowledge; docs,
hybrid-ai-provider-lane,140,active,ai-agents,AI / Agents,3,Hybrid AI provider lane,OpenAI/ChatGPT remains primary Ned operator; Claude is second-brain/reviewer; Grok/xAI tracked as contingency; local models are supporting workers.,Document routing rules as actual operational patterns emerge.,,memory/project_homelab_roadmap.md; memory/session-log.md,openai; claude; grok; ollama; routing,
claude-second-brain-lane,150,planned,ai-agents,AI / Agents,5,Claude second-brain review lane,"Use Claude deliberately for planning, architecture, long-context docs, code review, and careful second opinions.",Define handoff templates and when Hermes should ask Claude/Claude Code for review.,hybrid-ai-provider-lane,memory/project_homelab_roadmap.md,claude; review; planning,
local-simple-task-workers,160,planned,local-sovereignty,Local Models / Sovereignty,5,Local simple-task workers,"Use Ollama/llama.cpp workers for simple, fast, private, or offline tasks rather than replacing the cloud chief-of-staff model.",Identify first low-risk local tasks such as log triage or structured extraction.,hybrid-ai-provider-lane,memory/project_homelab_roadmap.md,ollama; llama-cpp; local-models,
friend-hermes-docker-pilot,170,active,friend-hermes,Friend Hermes / Hosted Agents,5,Docker-isolated friend Hermes pilot,"Separate Hermes container for Ray with isolated Hermes home, workspace, Telegram bot, OpenAI OAuth, and OneDrive file handoff; migrated to the Windows server 2026-06-08 (C:\hermes-friends\ray\).",Keep Ray isolated and document operational lessons before adding more friends.,mac-mini-substrate,plans/friend-hermes-docker-roadmap.md; references/ray-hermes-agent-setup.md,docker; ray; isolation; friend-hermes,
